"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Display"
"BT1","1","9V Battery","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"C1","1","1uF","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",""
"C2,C3,C4,C5,C6,C7,C8,C9,C10","9","100nF","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",""
"C11","1","22uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D2,D3,D4,D5,D6,D7","6","LED","","","","LED_THT:LED_D5.0mm",""
"D8","1","5817","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"J2","1","Probe In","","","","Library:EighthInch_PJ398SM_Silkscreen_Courtyard_Only",""
"J3","1","Mix In","","","","Library:EighthInch_PJ398SM_Silkscreen_Courtyard_Only",""
"J4","1","Out","","","","Library:EighthInch_PJ398SM_Silkscreen_Courtyard_Only",""
"J5","1","Eurorack_Power_10pin_Unshrouded","","","","Library:IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped_ThickerText",""
"J6","1","Mix In","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J7","1","Probe In","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J8","1","Out","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J9","1","Vol Pot","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R2,R5,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19","15","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R3,R20","2","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R4","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R6","1","1.5k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R11","1","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"RV1,RV2,RV4,RV5,RV6,RV7","6","1M","","","","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical",""
"RV3","1","100K","","","","Library:Pot_9mm_DShaft_Silkscreen_Courtyard_Only",""
"U1","1","LM358","","","","Package_DIP:DIP-8_W7.62mm",""
"U2","1","CD40106BPWR","","","","Package_DIP:DIP-14_W7.62mm","40106"
"D1","1","D_Photo","DNP","","Excluded from board","",""
"J1","1","Probe Out","DNP","","Excluded from board","",""
